Grade,Subject,Chapter,Topic_title,Topic_description,Topic_objective,Topic_teacher_name,Topic_url_demo,Video_title,Video_local,Video_wistia,Quiz_title,Quiz_starsrequired,Quiz_questions,Quiz_description,Quiz_subtitle,Quiz_estimatedMaxTime
Primer Semestre,Matematicas,Numeros 1,Numeros 1.1,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.10.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.10.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.10.1 quiz1.1,96
Primer Semestre,Matematicas,Numeros 1,Numeros 1.1.1,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.11.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.11.1 quiz,1,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.11.1 quiz1.1,78
Primer Semestre,Matematicas,Numeros 2,Numeros 1.2,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.21.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.21.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.21.1 quiz1.1,76
Primer Semestre,Matematicas,Numeros 3,Numeros 1.3,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.32.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.32.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.32.1 quiz1.1,71
Primer Semestre,Matematicas,Numeros 4,Numeros 1.4,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.43.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.43.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.43.1 quiz1.1,84
Primer Semestre,Matematicas,Numeros 5,Numeros 1.5,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.54.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.54.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.54.1 quiz1.1,51
Segundo Semestre,Matematicas,Numeros 6,Numeros 1.6,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.65.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.65.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.65.1 quiz1.1,94
Segundo Semestre,Matematicas,Numeros 7,Numeros 1.7,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.76.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.76.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.76.1 quiz1.1,54
Segundo Semestre,Matematicas,Numeros 8,Numeros 1.8,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.87.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.87.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.87.1 quiz1.1,59
Tercer Semestre,Matematicas,Numeros 9,Numeros 1.9,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.98.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.98.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.98.1 quiz1.1,10
